CQ,golden standard (expected),Generated
Which is the latest combination of toppings?,[Cannot be translated into a query],EMPTY LIST
Which pizzas are sharing 3 or more ingredients?,[Cannot be translated into a query],EMPTY LIST
Which are the gluten free bases?,[Cannot be translated into a query],EMPTY LIST
What pizzas contain less than 3 toppings?,[Cannot be translated into a query],EMPTY LIST
What is the most popular topping?,[Cannot be translated into a query],EMPTY LIST
What is the third least popular topping?,[Cannot be translated into a query],EMPTY LIST
How much does Margherita Pizza weight?,[Cannot be translated into a query],EMPTY LIST
How much it will cost me to order all pizzas in the menu?,[Cannot be translated into a query],EMPTY LIST
Is pizza healthy?,[Cannot be translated into a query],EMPTY LIST
Is spicy pizza stuffed crust and what is it stuffed with?,[Cannot be translated into a query],EMPTY LIST
Is spicy pizza thin or thick bread?,[Cannot be translated into a query],EMPTY LIST
Is vegetarian pizza deep pan or Chicago style?,[Cannot be translated into a query],EMPTY LIST
Should we include the oven type in the pizza definition,[Cannot be translated into a query],EMPTY LIST
How many pizzas did I eat last week?,[Cannot be translated into a query],EMPTY LIST
Do pizzas come in different sizes?,[Cannot be translated into a query],EMPTY LIST
Does a spicy pizza contain halal meat?,[Cannot be translated into a query],EMPTY LIST
What are the origins of pizza toppings?,[Cannot be translated into a query],EMPTY LIST
How many kinds of pizza I would make from 3 ingredients,[Cannot be translated into a query],EMPTY LIST
Are there any children pizzas?,[Cannot be translated into a query],EMPTY LIST
Are toppings organic?,[Cannot be translated into a query],EMPTY LIST
Are we including the folded pizzas in our domain?,[Cannot be translated into a query],EMPTY LIST
Can I have a menu without pizzas please?,[Cannot be translated into a query],EMPTY LIST
Can I remove toppings from a pizza?,[Cannot be translated into a query],EMPTY LIST
